# t_rel rawcounts delta velocity arc_volts torch_on arc_ok
0.006 222705 0 3128.259 0 ==> <==
0.099 222987 282 3128.259 0 ==> <==
0.181 223243 256 3128.259 0 ==> <==
0.263 223519 276 3127.443 0 ==> <==
0.352 223778 259 3134.796 0 ==> <==
0.435 224057 279 3128.259 0 ==> <==
0.531 224338 281 3128.259 0 ==> <==
0.615 224601 263 3131.524 0 ==> <==
0.697 224883 282 3128.259 0 ==> <==
0.787 225155 272 3134.796 0 ==> <==
0.876 225418 263 3128.259 0 ==> <==
0.959 225677 259 3128.259 0 ==> <==
1.044 225946 269 3125 0 ==> <==
1.127 226203 257 3131.524 0 ==> <==
1.208 226459 256 3128.259 0 ==> <==
1.291 226722 263 3138.075 0.12 ==> <==
1.376 226985 263 3128.259 0 ==> <==
1.462 227248 263 3128.259 0 ==> <==
1.543 227508 260 3125 0 ==> <==
1.626 227761 253 3125 0 ==> <==
1.708 228021 260 3131.524 0 ==> <==
1.790 228284 263 3129.89 0 ==> <==
1.876 228543 259 3134.796 0 ==> <==
1.958 228800 257 3128.259 0 ==> <==
2.040 229059 259 3128.259 0 ==> <==
2.121 229310 251 3128.259 0 ==> <==
2.202 229566 256 3128.259 0 ==> <==
2.283 229820 254 3121.748 0 ==> <==
2.365 230076 256 3125 0 ==> <==
2.447 230349 273 3127.443 0 ==> <==
2.535 230605 256 3134.796 0 ==> <==
2.616 230865 260 3128.259 0 ==> <==
2.699 231128 263 3131.524 0 ==> <==
2.783 231384 256 3125 0 ==> <==
2.867 231647 263 3128.259 0 ==> <==
2.948 231900 253 3128.259 0 ==> <==
3.032 232163 263 3128.259 0 ==> <==
3.114 232426 263 3131.524 0 ==> <==
3.197 232686 260 3128.259 0 ==> <==
3.282 232942 256 3131.524 0 ==> <==
3.365 233205 263 3125 0 ==> <==
3.446 233474 269 3131.524 0 ==> <==
3.533 233734 260 3134.796 0 ==> <==
3.614 233987 253 3134.796 0 ==> <==
3.698 234253 266 3128.259 0 ==> <==
3.783 234516 263 3121.748 0 ==> <==
3.868 234779 263 3131.524 0 ==> <==
3.950 235042 263 3128.259 0 ==> <==
4.033 235292 250 3128.259 0 ==> <==
4.114 235549 257 3134.796 0 ==> <==
4.195 235811 262 3128.259 0 ==> <==
4.280 236068 257 3128.259 0 ==> <==
4.364 236331 263 3125 0 ==> <==
4.446 236603 272 3128.259 0 ==> <==
4.534 236863 260 3134.796 0 ==> <==
4.620 237129 266 3128.259 0 ==> <==
4.703 237398 269 3121.748 0 ==> <==
4.787 237654 256 3125 0 ==> <==
4.870 237917 263 3128.259 0 ==> <==
4.953 238174 257 3128.259 0 ==> <==
5.035 238430 256 3134.796 0 ==> <==
5.118 238690 260 3131.524 0 ==> <==
5.200 238956 266 3128.259 0 ==> <==
5.285 239216 260 3122.56 0 ==> <==
5.383 239544 328 3128.259 0 ==> <==
5.474 239804 260 3131.524 0 ==> <==
5.555 240060 256 3134.796 0 ==> <==
5.637 240317 257 3131.524 0 ==> <==
5.720 240570 253 3128.259 0 ==> <==
5.801 240836 266 3128.259 0 ==> <==
5.886 241093 257 3121.748 0 ==> <==
5.969 241359 266 3128.259 0 ==> <==
6.052 241612 253 3128.259 0 ==> <==
6.134 241869 257 3125 0 ==> <==
6.215 242125 256 3134.796 0 ==> <==
6.298 242388 263 3128.259 0 ==> <==
6.382 242648 260 3131.524 0 ==> <==
6.467 242907 259 3121.748 0 ==> <==
6.548 243164 257 3125 0 ==> <==
6.631 243424 260 3128.259 0 ==> <==
6.713 243680 256 3128.259 0 ==> <==
6.795 243934 254 3128.259 0 ==> <==
6.878 244196 262 3131.524 0 ==> <==
6.960 244450 254 3128.259 0 ==> <==
7.045 244719 269 3128.259 0 ==> <==
7.127 244975 256 3125 0 ==> <==
7.209 245241 266 3128.259 0 ==> <==
7.295 245504 263 3134.796 0 ==> <==
7.380 245767 263 3128.259 0 ==> <==
7.464 246030 263 3126.628 0 ==> <==
7.545 246283 253 3128.259 0 ==> <==
7.627 246540 257 3121.748 0 ==> <==
7.709 246803 263 3129.89 0 ==> <==
7.793 247056 253 3128.259 0 ==> <==
7.876 247319 263 3134.796 0 ==> <==
7.957 247578 259 3131.524 0 ==> <==
8.042 247835 257 3128.259 0 ==> <==
8.123 248095 260 3128.259 0 ==> <==
8.205 248364 269 3128.259 0 ==> <==
8.293 248623 259 3128.259 0 ==> <==
8.380 248899 276 3128.259 0 ==> <==
8.464 249162 263 3129.89 0 ==> <==
8.548 249431 269 3131.524 0 ==> <==
8.636 249693 262 3128.259 0 ==> <==
8.721 249962 269 3128.259 0 ==> <==
8.802 250225 263 3131.524 0 ==> <==
8.887 250482 257 3121.748 0 ==> <==
8.969 250742 260 3129.89 0 ==> <==
9.054 251001 259 3128.259 0 ==> <==
9.135 251258 257 3128.259 0 ==> <==
9.217 251514 256 3134.796 0 ==> <==
9.311 251824 310 3131.524 0 ==> <==
9.404 252147 323 3132.341 0 ==> <==
9.514 252469 322 3128.259 0 ==> <==
9.609 252747 278 3128.259 0 ==> <==
9.693 253007 260 3128.259 0 ==> <==
9.778 253273 266 3131.524 0 ==> <==
9.863 253532 259 3128.259 0 ==> <==
