# t_rel rawcounts delta velocity arc_volts torch_on arc_ok
0.004 228465 0 3131.524 0 FALSE NA
0.140 228909 444 3125 0 FALSE NA
0.267 229291 382 3128.259 0 FALSE NA
0.439 229866 575 3125 0 FALSE NA
0.635 230473 607 3128.259 0 FALSE NA
0.779 230930 457 3125 0 FALSE NA
0.913 231306 376 3125 0 FALSE NA
1.071 231837 531 3128.259 0 FALSE NA
1.240 232447 610 3128.259 0 FALSE NA
1.429 232995 548 3128.259 0 FALSE NA
1.603 233461 466 3128.259 0 FALSE NA
1.740 233886 425 3128.259 0 FALSE NA
1.876 234409 523 3134.796 0 FALSE NA
2.023 234803 394 3128.259 0 FALSE NA
2.187 235300 497 3128.259 0 FALSE NA
2.374 235889 589 3127.443 0 FALSE NA
2.513 236301 412 3125 0 FALSE NA
2.628 236755 454 3121.748 0 FALSE NA
2.801 237218 463 3128.259 0 FALSE NA
2.945 237756 538 3125 0 FALSE NA
3.172 238513 757 3121.748 0 FALSE NA
3.357 238976 463 3131.524 0 FALSE NA
3.531 239596 620 3125 0 FALSE NA
3.797 240390 794 3121.748 0 FALSE NA
3.985 240985 595 3134.796 0 FALSE NA
4.140 241385 400 3128.259 0 FALSE NA
4.259 241767 382 3121.748 0 FALSE NA
4.415 242292 525 3126.628 0 FALSE NA
4.564 242815 523 3128.259 0 FALSE NA
4.755 243356 541 3128.259 0 FALSE NA
4.898 243897 541 3121.748 0 FALSE NA
5.101 244467 570 3128.259 0 FALSE NA
5.257 245005 538 3128.259 0 FALSE NA
5.474 245674 669 3125 0 FALSE NA
5.627 246162 488 3131.524 0 FALSE NA
5.788 246597 435 3125 0 FALSE NA
5.982 247270 673 3128.259 0 FALSE NA
6.161 247723 453 3128.259 0 FALSE NA
6.282 248152 429 3329.634 2.495 TRUE NA
6.443 248729 577 3341.688 2.645 TRUE NA
6.578 249142 413 3337.041 2.507 TRUE NA
6.750 249628 486 3325.942 2.45 TRUE NA
6.865 250543 915 12371.13 113.2 TRUE NA
7.000 252256 1713 12358.39 114.586 TRUE NA
7.134 254082 1826 12320.33 114.137 TRUE NA
7.291 256649 2567 12725.34 120.654 TRUE NA
7.541 260041 3392 13011.15 122.546 TRUE NA
7.804 262713 2672 13059.7 124.009 TRUE NA
7.935 264562 1849 13052.21 123.055 TRUE NA
8.081 266219 1657 13129.1 124.201 TRUE NA
8.225 268331 2112 13245.03 125.446 TRUE NA
8.385 270015 1684 13278.86 125.866 TRUE NA
8.513 272061 2046 13347.02 126.711 TRUE NA
8.653 273913 1852 13333.33 126.541 TRUE NA
8.806 275924 2011 13251.78 125.029 TRUE NA
8.968 278248 2324 13371.54 127.015 TRUE NA
9.114 280765 2517 13435.7 127.811 TRUE NA
9.351 283449 2684 13429.75 127.737 TRUE NA
9.493 285024 1575 13565.89 129.425 TRUE NA
9.628 286747 1723 13457.56 128.082 TRUE NA
9.741 288202 1455 13474.49 128.292 TRUE NA
9.854 289937 1735 13257.58 128.292 TRUE NA
9.978 291375 1438 13457.56 128.082 TRUE NA
10.100 293147 1772 13319.67 126.699 TRUE NA
10.229 295599 2452 13499.48 128.601 TRUE NA
10.402 297846 2247 13562.39 128.587 TRUE NA
10.609 299995 2149 13541.67 129.125 TRUE NA
10.760 302051 2056 13539.65 129.1 TRUE NA
10.931 304580 2529 13626.83 129.588 TRUE NA
11.067 306201 1621 13698.63 131.071 TRUE NA
11.194 307998 1797 13752.46 129.3 TRUE NA
11.328 309771 1773 13738.96 131.571 TRUE NA
11.450 311566 1795 13584.12 129.651 TRUE NA
11.590 313270 1704 13461.54 127.737 TRUE NA
11.732 315156 1886 13658.54 130.574 TRUE NA
11.861 317234 2078 13738.96 131.571 TRUE NA
12.005 319188 1954 13592.23 131.25 FALSE NA
12.167 319993 805 3144.654 0.161 FALSE NA
12.290 320303 310 3139.717 0.14 FALSE NA
12.406 320692 389 3131.524 0 FALSE NA
12.526 321084 392 3132.341 0.202 FALSE NA
12.676 321554 470 3128.259 0.202 FALSE NA
12.827 322077 523 3128.259 0 FALSE NA
12.970 322454 377 3129.89 0 FALSE NA
13.091 322823 369 3138.075 0.12 FALSE NA
13.219 323294 471 3134.796 0 FALSE NA
13.368 323736 442 3131.524 0.161 FALSE NA
13.536 324338 602 3127.443 0 FALSE NA
13.696 324726 388 3144.654 0.202 FALSE NA
13.839 325153 427 3128.259 0 FALSE NA
13.945 325560 407 3131.524 0 FALSE NA
14.084 325971 411 3131.524 0 FALSE NA
14.257 326567 596 3129.89 0 FALSE NA
14.409 327065 498 3125 0 FALSE NA
14.563 327795 730 3128.259 0 FALSE NA
14.838 328306 511 3147.954 0 FALSE NA
14.954 328664 358 3131.524 0 FALSE NA
15.109 329244 580 3138.075 0.242 FALSE NA
15.286 329830 586 3128.259 0 FALSE NA
15.437 330222 392 3144.654 0.161 FALSE NA
15.588 330689 467 3144.654 0 FALSE NA
15.777 331369 680 3131.524 0 FALSE NA
15.961 331868 499 3128.259 0 FALSE NA
16.085 332235 367 3142.184 0.171 FALSE NA
16.209 332623 388 3128.259 0 FALSE NA
16.351 333043 420 3141.361 0.161 FALSE NA
16.487 333545 502 3141.361 0.202 FALSE NA
